compound_id	smiles
cpd00067	[H+]
cpd01569	O=C1C=CC=CC1=O
cpd00203	O=C(OP(=O)(O)O)[C@H](O)COP(=O)(O)O
cf00001	O=C1C=CC(=O)C=C1
cpd00071	CC=O
cpd00022	CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O
cpd00196	CC(=O)OP(=O)(O)O
cpd00013	N
cpd00051	N=C(N)NCCC[C@H](N)C(=O)O
cpd00059	O=C1OC(C(O)CO)C(O)=C1O
cpd00132	NC(=O)C[C@H](N)C(=O)O
cpd00146	NC(=O)OP(=O)(O)O
cpd00011	O=C=O
cpd00010	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS
cpd01160	NCCS
cpd00084	N[C@@H](CS)C(=O)O
cpd00335	O=C1OC(C(O)CO)C(=O)C1=O
cpd00055	C=O
cpd00106	O=C(O)/C=C/C(=O)O
cpd00027	O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
cpd00023	N[C@@H](CCC(=O)O)C(=O)O
cpd00053	NC(=O)CC[C@H](N)C(=O)O
cpd30635	N[C@@H](CCC(O)=N[C@@H](CS)C(O)=NCC(=O)O)C(=O)O
cpd00229	O=CCO
cpd10147	O=CC=O
cpd00040	O=CC(=O)O
cpd00025	OO
cpd00119	N[C@@H](Cc1cnc[nH]1)C(=O)O
cpd22829	CCCCCC(O)/C=C/C=O
cpd00039	NCCCC[C@H](N)C(=O)O
cpd20696	O=CCC=O
cpd00428	CC(=O)C=O
cf00002	O=N[N+](=O)[O-]
cpd00075	O=NO
cf00003	[O]N=O
cpd00007	O=O
cpd00009	O=P(O)(O)O
cpd00016	Cc1ncc(COP(=O)(O)O)c(C=O)c1O
cpd00019	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O
cpd00017	C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
cpd00078	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O
cpd00081	OS(=O)O
cpd00073	NC(N)=O
cpd00001	O
cpd00044	c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OS(=O)(=O)O)OP(=O)(O)O)O)N
cpd00202	CC(=CCOP(=O)(OP(=O)(O)O)O)C
cpd00004	NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
cpd00003	NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1
cpd00024	O=C(O)CCC(=O)C(=O)O
cpd09249	O=C(O)O
cpd00127	Oc1ccccc1
cpd00045	c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)OP(=O)(O)O)O)N
cpd00029	CC(=O)O
cpd00936	O=CN1C(C(Nc2ccc(cc2)CC(C(C(COC2OC(C(C2O)O)COP(=O)(OC(C(=O)O)CCC(=O)O)O)O)O)O)C)C(C)Nc2c1c(=O)[nH]c(n2)N
cpd00012	O=P(O)(O)OP(=O)(O)O
cpd00895	C[C@H]1[C@@H](Nc2c(=O)[nH]c(nc2N1)N)[C@@H](C)Nc3ccc(cc3)C[C@@H]([C@@H]([C@@H](CO[C@@H]4[C@@H]([C@@H]([C@H](O4)COP(=O)(O)O[C@@H](CCC(=O)O)C(=O)O)O)O)O)O)O
cpd00113	CC(=C)CCOP(=O)(OP(=O)(O)O)O
cpd00359	c1ccc2c(c1)[nH]cc2
cpd00002	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
